"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] BookTitleComparatorEqual record1Value","[0] BookTitleComparatorEqual record2Value","[0] BookTitleComparatorEqual record1PreprocessedValue","[0] BookTitleComparatorEqual record2PreprocessedValue","[0] BookTitleComparatorEqual similarity","[0] BookTitleComparatorEqual postproccesedSimilarity","[1] BookAuthorComparatorLevenshtein record1Value","[1] BookAuthorComparatorLevenshtein record2Value","[1] BookAuthorComparatorLevenshtein record1PreprocessedValue","[1] BookAuthorComparatorLevenshtein record2PreprocessedValue","[1] BookAuthorComparatorLevenshtein similarity","[1] BookAuthorComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","recommendation_114423","goodreads_18761","0.5",,"bittersweet","bittersweet","bittersweet","bittersweet","1.0","1.0","Leslie Li","Tyffani Clark Kemp","Leslie Li","Tyffani Clark Kemp","0.11111111111111116","0.0"
"LinearCombinationMatchingRule","recommendation_24883","goodreads_36268","0.5",,"it had to be you","it had to be you","it had to be you","it had to be you","1.0","1.0","Susan Elizabeth Phillips","Susan May Warren","Susan Elizabeth Phillips","Susan May Warren","0.33333333333333337","0.0"
"LinearCombinationMatchingRule","recommendation_13232","goodreads_2058","1.0",,"green rider","green rider","green rider","green rider","1.0","1.0","Kristen Britain","Kristen Britain","Kristen Britain","Kristen Britain","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_63318","goodreads_6067","1.0",,"the adventures of augie march","the adventures of augie march","the adventures of augie march","the adventures of augie march","1.0","1.0","Saul Bellow","Saul Bellow","Saul Bellow","Saul Bellow","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_185003","goodreads_46106","1.0",,"jurassic park","jurassic park","jurassic park","jurassic park","1.0","1.0","Michael Crichton","Michael Crichton","Michael Crichton","Michael Crichton","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_21405","goodreads_35758","1.0",,"midnight warrior","midnight warrior","midnight warrior","midnight warrior","1.0","1.0","IRIS JOHANSEN","Iris Johansen","IRIS JOHANSEN","Iris Johansen","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_233744","goodreads_50381","1.0",,"little house in the big woods","little house in the big woods","little house in the big woods","little house in the big woods","1.0","1.0","Laura Ingalls Wilder","Laura Ingalls Wilder","Laura Ingalls Wilder","Laura Ingalls Wilder","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_128947","goodreads_40879","1.0",,"pollen","pollen","pollen","pollen","1.0","1.0","Jeff Noon","Jeff Noon","Jeff Noon","Jeff Noon","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_43085","goodreads_2480","1.0",,"farewell, my lovely","farewell, my lovely","farewell, my lovely","farewell, my lovely","1.0","1.0","Raymond Chandler","Raymond Chandler","Raymond Chandler","Raymond Chandler","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_220755","goodreads_34128","1.0",,"wild animals i have known","wild animals i have known","wild animals i have known","wild animals i have known","1.0","1.0","Ernest Thompson Seton","Ernest Thompson Seton","Ernest Thompson Seton","Ernest Thompson Seton","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_123684","goodreads_23035","0.5",,"black beauty","black beauty","black beauty","black beauty","1.0","1.0","Anna Sewell","Deidre S. Laiken","Anna Sewell","Deidre S. Laiken","0.125","0.0"
"LinearCombinationMatchingRule","recommendation_59784","goodreads_10344","1.0",,"pet sematary","pet sematary","pet sematary","pet sematary","1.0","1.0","Stephen King","Stephen King","Stephen King","Stephen King","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_204411","goodreads_27195","0.5",,"flawless","flawless","flawless","flawless","1.0","1.0","Burt Hirshfield","Lara Chapman","Burt Hirshfield","Lara Chapman","0.19999999999999996","0.0"
"LinearCombinationMatchingRule","recommendation_38976","goodreads_53139","0.5",,"eye of the storm","eye of the storm","eye of the storm","eye of the storm","1.0","1.0","Yair Weinstock","Jack Higgins","Yair Weinstock","Jack Higgins","0.2142857142857143","0.0"
"LinearCombinationMatchingRule","recommendation_19961","goodreads_53431","0.5",,"retribution","retribution","retribution","retribution","1.0","1.0","Jilliane Hoffman","Jeanne C. Stein","Jilliane Hoffman","Jeanne C. Stein","0.25","0.0"
"LinearCombinationMatchingRule","recommendation_16557","goodreads_38712","0.5",,"witch","witch","witch","witch","1.0","1.0","Donald E. McQuinn","Christopher Pike","Donald E. McQuinn","Christopher Pike","0.05882352941176472","0.0"
"LinearCombinationMatchingRule","recommendation_58040","goodreads_50188","1.0",,"brown-eyed girl","brown-eyed girl","brown-eyed girl","brown-eyed girl","1.0","1.0","Mariah Stewart","Mariah Stewart","Mariah Stewart","Mariah Stewart","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_80935","goodreads_14707","1.0",,"sense of evil","sense of evil","sense of evil","sense of evil","1.0","1.0","KAY HOOPER","Kay Hooper","KAY HOOPER","Kay Hooper","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_80620","goodreads_22278","0.5","0","unmasked","unmasked","unmasked","unmasked","1.0","1.0","Jennifer Blake","Turia Pitt","Jennifer Blake","Turia Pitt","0.1428571428571429","0.0"
"LinearCombinationMatchingRule","recommendation_60317","goodreads_26190","1.0",,"the perfect storm: a true story of men against the sea","the perfect storm: a true story of men against the sea","the perfect storm: a true story of men against the sea","the perfect storm: a true story of men against the sea","1.0","1.0","Sebastian Junger","Sebastian Junger","Sebastian Junger","Sebastian Junger","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_15107","goodreads_21785","1.0",,"the secret history","the secret history","the secret history","the secret history","1.0","1.0","Donna Tartt","Donna Tartt","Donna Tartt","Donna Tartt","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_171967","goodreads_11267","0.5",,"blind faith","blind faith","blind faith","blind faith","1.0","1.0","Joe McGinnis","Ben Elton","Joe McGinnis","Ben Elton","0.16666666666666663","0.0"
"LinearCombinationMatchingRule","recommendation_70162","goodreads_9321","1.0",,"the legacy of heorot","the legacy of heorot","the legacy of heorot","the legacy of heorot","1.0","1.0","Larry Niven","Larry Niven","Larry Niven","Larry Niven","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_7740","goodreads_43779","0.5",,"standoff","standoff","standoff","standoff","1.0","1.0","Sandra Brown","Lauren Dane","Sandra Brown","Lauren Dane","0.16666666666666663","0.0"
"LinearCombinationMatchingRule","recommendation_7001","goodreads_50615","0.5",,"critical mass","critical mass","critical mass","critical mass","1.0","1.0","Steven Paul Martini","Sara Paretsky","Steven Paul Martini","Sara Paretsky","0.26315789473684215","0.0"
"LinearCombinationMatchingRule","recommendation_185004","goodreads_36809","0.5",,"love match","love match","love match","love match","1.0","1.0","Rianna Craig","Megan Hart","Rianna Craig","Megan Hart","0.25","0.0"
"LinearCombinationMatchingRule","recommendation_78951","goodreads_7073","1.0",,"the enchanted wood","the enchanted wood","the enchanted wood","the enchanted wood","1.0","1.0","Enid Blyton","Enid Blyton","Enid Blyton","Enid Blyton","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_24883","goodreads_32907","0.5",,"it had to be you","it had to be you","it had to be you","it had to be you","1.0","1.0","Susan Elizabeth Phillips","Sabrina Jordan","Susan Elizabeth Phillips","Sabrina Jordan","0.20833333333333337","0.0"
"LinearCombinationMatchingRule","recommendation_22712","goodreads_8970","0.5",,"someday","someday","someday","someday","1.0","1.0","Andrew H. Malcolm","Karen Kingsbury","Andrew H. Malcolm","Karen Kingsbury","0.17647058823529416","0.0"
"LinearCombinationMatchingRule","recommendation_69523","goodreads_42501","1.0",,"the astronaut's wife","the astronaut's wife","the astronaut's wife","the astronaut's wife","1.0","1.0","Robert Tine","Robert Tine","Robert Tine","Robert Tine","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_69842","goodreads_1135","1.0",,"the painted bird","the painted bird","the painted bird","the painted bird","1.0","1.0","JERZY KOSINSKI","Jerzy Kosiński","JERZY KOSINSKI","Jerzy Kosiński","0.9285714285714286","1.0"
"LinearCombinationMatchingRule","recommendation_176639","goodreads_18728","1.0",,"ulysses","ulysses","ulysses","ulysses","1.0","1.0","James Joyce","James Joyce","James Joyce","James Joyce","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_100681","goodreads_32305","1.0",,"1984","1984","1984","1984","1.0","1.0","George Orwell","George Orwell","George Orwell","George Orwell","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_55055","goodreads_30236","1.0",,"cafe europa: life after communism","cafe europa: life after communism","cafe europa: life after communism","cafe europa: life after communism","1.0","1.0","Slavenka Drakulic","Slavenka Drakulić","Slavenka Drakulic","Slavenka Drakulić","0.9411764705882353","1.0"
"LinearCombinationMatchingRule","recommendation_91160","goodreads_32695","1.0",,"the past through tomorrow","the past through tomorrow","the past through tomorrow","the past through tomorrow","1.0","1.0","Robert A. Heinlein","Robert A. Heinlein","Robert A. Heinlein","Robert A. Heinlein","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_87904","goodreads_494","1.0",,"johnny got his gun","johnny got his gun","johnny got his gun","johnny got his gun","1.0","1.0","Dalton Trumbo","Dalton Trumbo","Dalton Trumbo","Dalton Trumbo","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_44875","goodreads_42579","1.0",,"comstock lode","comstock lode","comstock lode","comstock lode","1.0","1.0","Louis L'Amour","Louis L'Amour","Louis L'Amour","Louis L'Amour","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_13081","goodreads_28708","1.0",,"the toughest indian in the world","the toughest indian in the world","the toughest indian in the world","the toughest indian in the world","1.0","1.0","Sherman Alexie","Sherman Alexie","Sherman Alexie","Sherman Alexie","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_120426","goodreads_47546","1.0",,"the picture of dorian gray","the picture of dorian gray","the picture of dorian gray","the picture of dorian gray","1.0","1.0","Oscar Wilde","Oscar Wilde","Oscar Wilde","Oscar Wilde","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_1535","goodreads_28496","1.0",,"the green mile","the green mile","the green mile","the green mile","1.0","1.0","Stephen King","Stephen King","Stephen King","Stephen King","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_147389","goodreads_38252","1.0",,"the aristocats","the aristocats","the aristocats","the aristocats","1.0","1.0","Walt Disney Productions","Walt Disney Company","Walt Disney Productions","Walt Disney Company","0.6086956521739131","1.0"
"LinearCombinationMatchingRule","recommendation_43775","goodreads_37007","1.0",,"atticus","atticus","atticus","atticus","1.0","1.0","Ron Hansen","Ron Hansen","Ron Hansen","Ron Hansen","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_14202","goodreads_13460","1.0",,"sons of fortune","sons of fortune","sons of fortune","sons of fortune","1.0","1.0","Jeffrey Archer","Jeffrey Archer","Jeffrey Archer","Jeffrey Archer","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_100326","goodreads_4992","1.0",,"doctors","doctors","doctors","doctors","1.0","1.0","Erich Segal","Erich Segal","Erich Segal","Erich Segal","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_237204","goodreads_29747","0.5",,"the prince","the prince","the prince","the prince","1.0","1.0","Tim Richards","Niccolò Machiavelli","Tim Richards","Niccolò Machiavelli","0.26315789473684215","0.0"
