"Blocking Key Value","Frequency"
"When the Wind Blows,Sisters,Harry Potter and the Chamber of Secrets,Ashes to Ashes","22"
"Trial by Fire,Childhood's End,The Legend of Sleepy Hollow,I Know Why the Caged Bird Sings,The Two Towers,The Neverending Story,The Watcher,Rendezvous with Rama,Open Season,Don Quixote,The Time Machine,Blue Moon,Eva Luna,Slow Burn,The Complete Poems,Free Fall,Eternity","21"
"Storm,Three Wishes,Eye of the Storm,The Outsider,Naked,Envy,Reckoning,Cat's Cradle,The Power,The Talisman,Changeling,Breaking Point,A Clockwork Orange,Dead Souls,The Little Prince,Skin Deep,Bliss,Thicker Than Water,Dolores Claiborne,Selected Stories,Exposure,Lucky,It Had to Be You,Solaris,The Rescue,Cosmos,The Chosen,Neverwhere,Behind Closed Doors,Requiem,Macbeth","20"
"The Lord of the Rings,Dawn,Illusion,The Wall,Echo,Angels,James and the Giant Peach,Wildfire,Night Shift,The Passion,The Return of the King,Crime and Punishment,The Great Gatsby,Hide and Seek,Dead Heat,The Kiss,Nevermore,Northanger Abbey,Relentless,Spellbound,The Sacrifice,Exodus,The Innocent,Mirror Image,Lullaby,The Night Before Christmas,Dancing in the Dark,The Grapes of Wrath,The Shining,The Scarlet Letter,Everlasting,The Complete Stories,Pet Sematary,Shadowland,No Greater Love,The Secret Life of Bees","18"
"Still Waters,Blood Moon,Kim,Terminal,Archangel,The Complete Works,A Tree Grows in Brooklyn,Starship Troopers,Growing Up,Home,Charlie and the Chocolate Factory,Empire,Closer,Hyperion,Until You,Passion,The Adventures of Sherlock Holmes,Lady Chatterley's Lover,The Cider House Rules,Tao Te Ching,Fire and Ice,East of Eden,The Pearl,All That Glitters,Hostage,The Choice,Crossing the Line,Catalyst,Untamed,The Witness,My Story","16"
"The Game,Ice,The Notebook,Sweet Revenge,Runaway,Beast,Replay,Hunger,Oblivion,The Godfather,The Hunt,Shadow,Northern Lights,The Guardian,Middlemarch,Hero,Beloved,Heartbeat,The List,Poems,Blood Ties,Neuromancer,The Phantom of the Opera,The Snow Queen,Confessions,Faking It,Silent Night,Inheritance,The Master and Margarita,Deceptions,The Protector,Into the Wild,Rose,Justine,Deadline,Revelations,In Too Deep,Tess of the D'Urbervilles","15"
"Twilight,The Rainmaker,Impulse,Island of the Blue Dolphins,The Lost World,Highland Fling,Tar Baby,The Perks of Being a Wallflower,All Creatures Great and Small,Witch,Things Fall Apart,The Other Woman,Blessings,Fallen,Dark Matter,Dangerous,Lightning,Harvest,Aftermath,After the Fire,Double Trouble,Hard Times,Tuck Everlasting,Being There,Othello","14"
"Illusions,American Gods","13"
"The Adventures of Tom Sawyer,Black Heart,Native Son,Switch,Falling Angels,Taltos,'Salem's Lot,Saving Grace,Stardust,The Color Purple,The Last Unicorn,Guardian,To the Lighthouse,The Visitor,Still Life,The Princess,Dubliners,When the Bough Breaks,The Jungle Book,Paradise Lost,Trust Me,Bridget Jones's Diary,I Capture the Castle,The Call of the Wild,Number the Stars,My Life,Birthright,Fried Green Tomatoes at the Whistle Stop Cafe,Where the Red Fern Grows,Life of Pi,Perfect,Gateway,Briar Rose,House,Alice in Wonderland,Jazz,Howards End,Life After Life,Bridge to Terabithia,Ethan Frome,Strangers,Surfacing,The Once and Future King,After,Wild Swans: Three Daughters of China,Love Story,Candide,Darkness,Around the World in Eighty Days,Exile,Haven,Consequences,Touched,Smoke,The Wonderful Wizard of Oz,Flame,The Journey Home,Stormy Weather,High Fidelity,Charade,Crazy,Housekeeping,The Circle,Riders of the Purple Sage,Sphere,After Midnight,The Witch of Blackbird Pond,Demon,Pandora,2001: A Space Odyssey,The Enemy,Heidi,The Stand,Night Watch,Alias Grace,Heaven and Hell,Pulse,The Road Home,The Iliad,Vanishing Point,Out of the Dark,Of Human Bondage,Mansfield Park,Ring,Second Nature,Darkness Falls,White Fang,Trinity,The Forever War,One True Thing,Of Mice and Men,The Screwtape Letters,Silk,Twins,Sarah,Cat's Eye,Chocolat,Checkmate,Rage of Angels,Maniac Magee,Storm Warning","12"
"Hot Pursuit,Pollyanna,The Passage,Rites of Passage,Phantoms,Dead Reckoning,Crossroads,Stolen,Beowulf,Warrior,Anne of the Island,Escape,Protect and Defend,Titan,The Prophet,Fire,Pilgrim,Fury,This Present Darkness,The Emigrants,Genesis,The Vision,Echoes,False Memory,The Calling,The Kitchen God's Wife,Undertow,The BFG,The Key,Hush,Endless Night,The Ugly Duckling,Power Play,Dandelion Wine,On the Beach,The Dark Half,All the King's Men,Chances,The Brethren,Firestarter,The Murder of Roger Ackroyd,The Immortals,Danse Macabre,Flesh and Blood,Thursday's Child,Reflex,World Without End,The Switch,Night Whispers,Chimera,Blood Work,Riptide,Dragonsong,Aftershock,The Homecoming,Once,Love in the Time of Cholera,The Lion, the Witch and the Wardrobe,On the Edge,The Reader,Uncle Tom's Cabin,Malice,Body and Soul,Anne of Avonlea,Almost Heaven,Roll of Thunder, Hear My Cry,Trouble,Washington Square,P.S. I Love You,Lawless,The Call,The Cage,The Collector,Rogue,Butterfly,Scandal,Never Cry Wolf,The Long Way Home,Walden,Treasure,Insomnia,Cold Sassy Tree","10"
"Hamlet","110"
"We,Cujo,In the Dark,Watchers,The Chase,The Virgin Suicides,The Magus,Red,End of Days,Witness,The White Road,The Giver,Horizon,The War of the Worlds,In Cold Blood,Out of Control,Phoenix Rising,Extreme Measures,Pale Fire,The Hitchhiker's Guide to the Galaxy,Going Home,Ella Enchanted,The Pillars of the Earth,Silver,Love,All Through the Night,Blaze,The Phantom Tollbooth,The Decameron,Bleak House,Family,Trust,The Pilgrim's Progress,Charmed,Memoirs,Bad Blood,The Green Mile,Arcadia,Waterfall,Choices,Firebird,Imajica,Stranded,Le Petit Prince,Labyrinth,Lonesome Dove,Memoirs of a Geisha","9"
"Sacrifice","108"
