"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"authors","1.0","authors-{goodreads_24380+goodreads_44172+recommendation_206812}","goodreads_24380+goodreads_44172+recommendation_206812","{[de.unimannheim.wdi.model.Author@a19a30e0]|[de.unimannheim.wdi.model.Author@a19a30e0]|[de.unimannheim.wdi.model.Author@a19a30e0]}","[de.unimannheim.wdi.model.Author@a19a30e0]",,
"authors","1.0","authors-{goodreads_27041+recommendation_114803+recommendation_63539+recommendation_85524}","goodreads_27041+recommendation_114803+recommendation_63539+recommendation_85524","{[de.unimannheim.wdi.model.Author@9b5b3b37]|[de.unimannheim.wdi.model.Author@9b5b3b37]|[de.unimannheim.wdi.model.Author@9b5b3b37]|[de.unimannheim.wdi.model.Author@9b5b3b37]}","[de.unimannheim.wdi.model.Author@9b5b3b37]",,
"authors","1.0","authors-{goodreads_53835+recommendation_193392}","goodreads_53835+recommendation_193392","{[de.unimannheim.wdi.model.Author@8a4faeff]|[de.unimannheim.wdi.model.Author@8a4faeff]}","[de.unimannheim.wdi.model.Author@8a4faeff]",,
"publisher","0.75","publisher-{recommendation_122836+recommendation_171344+recommendation_224278+recommendation_77440}","recommendation_122836+recommendation_171344+recommendation_224278+recommendation_77440","{Zebra Books|Zebra Books|Kensington Books|Zebra Books}","Kensington Books",,
"publisher","1.0","publisher-{recommendation_227675}","recommendation_227675","{Severn House Pub Ltd}","Severn House Pub Ltd",,
"publisher","1.0","publisher-{recommendation_4974}","recommendation_4974","{HarperCollins Publishers}","HarperCollins Publishers",,
"title","1.0","title-{goodreads_1594+recommendation_100450+recommendation_100490+recommendation_217218+recommendation_27961+recommendation_79691}","goodreads_1594+recommendation_100450+recommendation_100490+recommendation_217218+recommendation_27961+recommendation_79691","{The Executioner's Song|The Executioner's Song|The Executioner's Song|The Executioner's Song|The Executioner's Song|The Executioner's Song}","The Executioner's Song",,
"authors","1.0","authors-{goodreads_23637+recommendation_141336+recommendation_166513+recommendation_59970}","goodreads_23637+recommendation_141336+recommendation_166513+recommendation_59970","{[de.unimannheim.wdi.model.Author@6e094128]|[de.unimannheim.wdi.model.Author@6e094128]|[de.unimannheim.wdi.model.Author@6e094128]|[de.unimannheim.wdi.model.Author@6e094128]}","[de.unimannheim.wdi.model.Author@6e094128]",,
"authors","1.0","authors-{goodreads_294+recommendation_233962+recommendation_42826+recommendation_46796+recommendation_46841}","goodreads_294+recommendation_233962+recommendation_42826+recommendation_46796+recommendation_46841","{[de.unimannheim.wdi.model.Author@94547e1b]|[de.unimannheim.wdi.model.Author@94547e1b]|[de.unimannheim.wdi.model.Author@94547e1b]|[de.unimannheim.wdi.model.Author@94547e1b]|[de.unimannheim.wdi.model.Author@94547e1b]}","[de.unimannheim.wdi.model.Author@94547e1b]",,
"publisher","1.0","publisher-{recommendation_140996}","recommendation_140996","{Bantam Books}","Bantam Books",,
