"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] BookTitleComparatorEqual record1Value","[0] BookTitleComparatorEqual record2Value","[0] BookTitleComparatorEqual record1PreprocessedValue","[0] BookTitleComparatorEqual record2PreprocessedValue","[0] BookTitleComparatorEqual similarity","[0] BookTitleComparatorEqual postproccesedSimilarity","[1] BookAuthorComparatorJaccard record1Value","[1] BookAuthorComparatorJaccard record2Value","[1] BookAuthorComparatorJaccard record1PreprocessedValue","[1] BookAuthorComparatorJaccard record2PreprocessedValue","[1] BookAuthorComparatorJaccard similarity","[1] BookAuthorComparatorJaccard postproccesedSimilarity","[2] BookAuthorComparatorLevenshtein record1Value","[2] BookAuthorComparatorLevenshtein record2Value","[2] BookAuthorComparatorLevenshtein record1PreprocessedValue","[2] BookAuthorComparatorLevenshtein record2PreprocessedValue","[2] BookAuthorComparatorLevenshtein similarity","[2] BookAuthorComparatorLevenshtein postproccesedSimilarity","[3] BookPublisherComparatorJaccard record1Value","[3] BookPublisherComparatorJaccard record2Value","[3] BookPublisherComparatorJaccard record1PreprocessedValue","[3] BookPublisherComparatorJaccard record2PreprocessedValue","[3] BookPublisherComparatorJaccard similarity","[3] BookPublisherComparatorJaccard postproccesedSimilarity","[4] BookPublisherComparatorLevenshtein record1Value","[4] BookPublisherComparatorLevenshtein record2Value","[4] BookPublisherComparatorLevenshtein record1PreprocessedValue","[4] BookPublisherComparatorLevenshtein record2PreprocessedValue","[4] BookPublisherComparatorLevenshtein similarity","[4] BookPublisherComparatorLevenshtein postproccesedSimilarity","[5] BookPageComparator100Page record1Value","[5] BookPageComparator100Page record2Value","[5] BookPageComparator100Page record1PreprocessedValue","[5] BookPageComparator100Page record2PreprocessedValue","[5] BookPageComparator100Page similarity","[5] BookPageComparator100Page postproccesedSimilarity","[6] BookPageComparator50Page record1Value","[6] BookPageComparator50Page record2Value","[6] BookPageComparator50Page record1PreprocessedValue","[6] BookPageComparator50Page record2PreprocessedValue","[6] BookPageComparator50Page similarity","[6] BookPageComparator50Page postproccesedSimilarity"
"WekaMatchingRule","recommendation_6746","goodreads_39661","0.06447831184056271","0","the dressmaker","the dressmaker","the dressmaker","the dressmaker","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Beryl Bainbridge","Rosalie Ham","Beryl Bainbridge","Rosalie Ham","0.125","0.0","carroll &amp; graf publishers",,"carroll &amp; graf publishers",,"0.0","0.0","carroll &amp; graf publishers",,"carroll &amp; graf publishers",,"0.0","0.0","0","296","0","296","0.0","0.0","0","296","0","296","0.0","0.0"
"WekaMatchingRule","recommendation_27311","goodreads_35834","0.9391025641025641","1","basic christianity","basic christianity","basic christianity","basic christianity","1.0","1.0","John R. W. Stott","John R.W. Stott","John R. W. Stott","John R.W. Stott","1.0","1.0","John R. W. Stott","John R.W. Stott","John R. W. Stott","John R.W. Stott","0.9375","1.0","wm. b. eerdmans publishing company",,"wm. b. eerdmans publishing company",,"0.0","0.0","wm. b. eerdmans publishing company",,"wm. b. eerdmans publishing company",,"0.0","0.0","0","179","0","179","0.0","0.0","0","179","0","179","0.0","0.0"
"WekaMatchingRule","recommendation_109022","goodreads_23823","0.06447831184056271","0","soldier","soldier","soldier","soldier","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Anthony Herbert","Julie Kagawa","Anthony Herbert","Julie Kagawa","0.06666666666666665","0.0","collectors reprints, inc.",,"collectors reprints, inc.",,"0.0","0.0","collectors reprints, inc.",,"collectors reprints, inc.",,"0.0","0.0","0","380","0","380","0.0","0.0","0","380","0","380","0.0","0.0"
"WekaMatchingRule","recommendation_3915","goodreads_1443","0.9391025641025641","1","quidditch through the ages","quidditch through the ages","quidditch through the ages","quidditch through the ages","1.0","1.0","J. K. Rowling","J.K. Rowling","J. K. Rowling","J.K. Rowling","1.0","1.0","J. K. Rowling","J.K. Rowling","J. K. Rowling","J.K. Rowling","0.9230769230769231","1.0","sagebrush education resources",,"sagebrush education resources",,"0.0","0.0","sagebrush education resources",,"sagebrush education resources",,"0.0","0.0","0","64","0","64","0.36","0.36","0","64","0","64","0.0","0.0"
"WekaMatchingRule","recommendation_156758","goodreads_25480","0.06447831184056271","0","live girls","live girls","live girls","live girls","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Beth Nugent","Ray Garton","Beth Nugent","Ray Garton","0.09090909090909094","0.0","vintage books usa",,"vintage books usa",,"0.0","0.0","vintage books usa",,"vintage books usa",,"0.0","0.0","0","337","0","337","0.0","0.0","0","337","0","337","0.0","0.0"
"WekaMatchingRule","recommendation_20124","goodreads_4458","0.06447831184056271","0","the book of the dead","the book of the dead","the book of the dead","the book of the dead","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","John Skipp","Douglas Preston","John Skipp","Douglas Preston","0.1333333333333333","0.0","bantam books",,"bantam books",,"0.0","0.0","bantam books",,"bantam books",,"0.0","0.0","0","454","0","454","0.0","0.0","0","454","0","454","0.0","0.0"
"WekaMatchingRule","recommendation_143829","goodreads_15108","0.9391025641025641","1","smith of wootton major","smith of wootton major","smith of wootton major","smith of wootton major","1.0","1.0","J. R. R. Tolkien","J.R.R. Tolkien","J. R. R. Tolkien","J.R.R. Tolkien","1.0","1.0","J. R. R. Tolkien","J.R.R. Tolkien","J. R. R. Tolkien","J.R.R. Tolkien","0.875","1.0","not avail",,"not avail",,"0.0","0.0","not avail",,"not avail",,"0.0","0.0","0","149","0","149","0.0","0.0","0","149","0","149","0.0","0.0"
"WekaMatchingRule","recommendation_86137","goodreads_52999","0.06447831184056271","1","gnomes","gnomes","gnomes","gnomes","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Will Huygen","Rien Poortvliet","Will Huygen","Rien Poortvliet","0.19999999999999996","0.0","harry n abrams",,"harry n abrams",,"0.0","0.0","harry n abrams",,"harry n abrams",,"0.0","0.0","0","212","0","212","0.0","0.0","0","212","0","212","0.0","0.0"
"WekaMatchingRule","recommendation_103626","goodreads_51789","0.06447831184056271","0","promised land","promised land","promised land","promised land","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Karel Schoeman","Robert B. Parker","Karel Schoeman","Robert B. Parker","0.125","0.0","summit books",,"summit books",,"0.0","0.0","summit books",,"summit books",,"0.0","0.0","0","224","0","224","0.0","0.0","0","224","0","224","0.0","0.0"
"WekaMatchingRule","recommendation_32880","goodreads_51355","0.06447831184056271","0","the golden globe","the golden globe","the golden globe","the golden globe","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","John Varley","Nancy Richardson Fischer","John Varley","Nancy Richardson Fischer","0.16666666666666663","0.0","ace books",,"ace books",,"0.0","0.0","ace books",,"ace books",,"0.0","0.0","0","116","0","116","0.0","0.0","0","116","0","116","0.0","0.0"
"WekaMatchingRule","recommendation_56928","goodreads_34786","0.9391025641025641","1","phantoms in the brain: probing the mysteries of the human mind","phantoms in the brain: probing the mysteries of the human mind","phantoms in the brain: probing the mysteries of the human mind","phantoms in the brain: probing the mysteries of the human mind","1.0","1.0","V. S. Ramachandran","V.S. Ramachandran","V. S. Ramachandran","V.S. Ramachandran","1.0","1.0","V. S. Ramachandran","V.S. Ramachandran","V. S. Ramachandran","V.S. Ramachandran","0.9444444444444444","1.0","william morrow &amp; company",,"william morrow &amp; company",,"0.0","0.0","william morrow &amp; company",,"william morrow &amp; company",,"0.0","0.0","0","352","0","352","0.0","0.0","0","352","0","352","0.0","0.0"
"WekaMatchingRule","recommendation_139181","goodreads_33366","0.06447831184056271","0","chameleon","chameleon","chameleon","chameleon","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","William Diehl","Kelly Oram","William Diehl","Kelly Oram","0.23076923076923073","0.0","random house",,"random house",,"0.0","0.0","random house",,"random house",,"0.0","0.0","0","356","0","356","0.0","0.0","0","356","0","356","0.0","0.0"
"WekaMatchingRule","recommendation_162106","goodreads_33938","0.06447831184056271","0","fires of winter","fires of winter","fires of winter","fires of winter","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Roberta Gellis","Johanna Lindsey","Roberta Gellis","Johanna Lindsey","0.19999999999999996","0.0","berkley pub group",,"berkley pub group",,"0.0","0.0","berkley pub group",,"berkley pub group",,"0.0","0.0","0","362","0","362","0.0","0.0","0","362","0","362","0.0","0.0"
"WekaMatchingRule","recommendation_223889","goodreads_2277","0.06447831184056271","0","earth abides","earth abides","earth abides","earth abides","1.0","1.0","Stewart","George R. Stewart","Stewart","George R. Stewart","0.3333333333333333","0.0","Stewart","George R. Stewart","Stewart","George R. Stewart","0.4117647058823529","0.0","not avail",,"not avail",,"0.0","0.0","not avail",,"not avail",,"0.0","0.0","0","345","0","345","0.0","0.0","0","345","0","345","0.0","0.0"
"WekaMatchingRule","recommendation_114352","goodreads_44871","0.06447831184056271","0","bliss","bliss","bliss","bliss","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Claudia Crawford","Lauren Myracle","Claudia Crawford","Lauren Myracle","0.3125","0.0","signet book",,"signet book",,"0.0","0.0","signet book",,"signet book",,"0.0","0.0","0","480","0","480","0.0","0.0","0","480","0","480","0.0","0.0"
"WekaMatchingRule","recommendation_231751","goodreads_39106","0.06447831184056271","0","firstborn","firstborn","firstborn","firstborn","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Robin Lee Hatcher","Tor Seidler","Robin Lee Hatcher","Tor Seidler","0.2941176470588235","0.0","tyndale house publishers",,"tyndale house publishers",,"0.0","0.0","tyndale house publishers",,"tyndale house publishers",,"0.0","0.0","0","240","0","240","0.0","0.0","0","240","0","240","0.0","0.0"
"WekaMatchingRule","recommendation_3981","goodreads_51598","0.06447831184056271","0","plan b","plan b","plan b","plan b","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Jonathan Tropper","Sharon Lee","Jonathan Tropper","Sharon Lee","0.25","0.0","st. martin's griffin",,"st. martin's griffin",,"0.0","0.0","st. martin's griffin",,"st. martin's griffin",,"0.0","0.0","0","336","0","336","0.0","0.0","0","336","0","336","0.0","0.0"
"WekaMatchingRule","recommendation_204411","goodreads_27195","0.06447831184056271","0","flawless","flawless","flawless","flawless","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Burt Hirshfield","Lara Chapman","Burt Hirshfield","Lara Chapman","0.19999999999999996","0.0","jove books",,"jove books",,"0.0","0.0","jove books",,"jove books",,"0.0","0.0","0","255","0","255","0.0","0.0","0","255","0","255","0.0","0.0"
"WekaMatchingRule","recommendation_86497","goodreads_6772","0.06447831184056271","0","sleeping beauties","sleeping beauties","sleeping beauties","sleeping beauties","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Susanna Moore","Stephen King","Susanna Moore","Stephen King","0.15384615384615385","0.0","vintage books usa",,"vintage books usa",,"0.0","0.0","vintage books usa",,"vintage books usa",,"0.0","0.0","0","702","0","702","0.0","0.0","0","702","0","702","0.0","0.0"
"WekaMatchingRule","recommendation_39160","goodreads_7519","0.9391025641025641","1","peace is every step: the path of mindfulness in everyday life","peace is every step: the path of mindfulness in everyday life","peace is every step: the path of mindfulness in everyday life","peace is every step: the path of mindfulness in everyday life","1.0","1.0","Thich Nhat Hahn","Thich Nhat Hanh","Thich Nhat Hahn","Thich Nhat Hanh","0.5","1.0","Thich Nhat Hahn","Thich Nhat Hanh","Thich Nhat Hahn","Thich Nhat Hanh","0.8666666666666667","1.0","random house",,"random house",,"0.0","0.0","random house",,"random house",,"0.0","0.0","0","160","0","160","0.0","0.0","0","160","0","160","0.0","0.0"
"WekaMatchingRule","recommendation_209665","goodreads_44018","0.06447831184056271","0","leaving home","leaving home","leaving home","leaving home","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0","Elizabeth Janeway","Garrison Keillor","Elizabeth Janeway","Garrison Keillor","0.05882352941176472","0.0","feminist press",,"feminist press",,"0.0","0.0","feminist press",,"feminist press",,"0.0","0.0","0","244","0","244","0.0","0.0","0","244","0","244","0.0","0.0"
"WekaMatchingRule","recommendation_24980","goodreads_9813","0.9391025641025641","1","the siege of krishnapur","the siege of krishnapur","the siege of krishnapur","the siege of krishnapur","1.0","1.0","J. G. Farrell","J.G. Farrell","J. G. Farrell","J.G. Farrell","1.0","1.0","J. G. Farrell","J.G. Farrell","J. G. Farrell","J.G. Farrell","0.9230769230769231","1.0","pub group west",,"pub group west",,"0.0","0.0","pub group west",,"pub group west",,"0.0","0.0","0","344","0","344","0.0","0.0","0","344","0","344","0.0","0.0"
