id_recommendation,id_goodreads,value
recommendation_72854,goodreads_29940,1
recommendation_131517,goodreads_53225,1
recommendation_69523,goodreads_42501,1
recommendation_263034,goodreads_19515,1
recommendation_202877,goodreads_15379,1
recommendation_131537,goodreads_19204,1
recommendation_233398,goodreads_3382,1
recommendation_175979,goodreads_26345,1
recommendation_224278,goodreads_22873,1
recommendation_86926,goodreads_48336,1
recommendation_105587,goodreads_49780,1
recommendation_9751,goodreads_614,1
recommendation_192231,goodreads_799,1
recommendation_80935,goodreads_14707,1
recommendation_12436,goodreads_48051,1
recommendation_233962,goodreads_294,1
recommendation_620,goodreads_53065,1
recommendation_103918,goodreads_47,1
recommendation_12468,goodreads_44946,1
recommendation_18746,goodreads_44374,1
recommendation_6147,goodreads_13724,1
recommendation_229202,goodreads_24292,1
recommendation_14471,goodreads_5515,1
recommendation_3754,goodreads_41886,1
recommendation_103025,goodreads_7519,1
recommendation_152831,goodreads_15108,1
recommendation_151581,goodreads_83,1
recommendation_153702,goodreads_32380,1
recommendation_264764,goodreads_53995,1
recommendation_2231,goodreads_35512,1
recommendation_155214,goodreads_5576,1
recommendation_140409,goodreads_14668,1
recommendation_100337,goodreads_41943,1
recommendation_112508,goodreads_1287,1
recommendation_142437,goodreads_45688,1
recommendation_4043,goodreads_20848,1
recommendation_72818,goodreads_45135,1
recommendation_166513,goodreads_23637,1
recommendation_45637,goodreads_7535,1
recommendation_222193,goodreads_28581,1
recommendation_4541,goodreads_2291,1
recommendation_187137,goodreads_621,1
recommendation_107098,goodreads_51271,1
recommendation_38990,goodreads_24071,1
recommendation_92390,goodreads_1221,1
recommendation_91327,goodreads_44907,1
recommendation_1050,goodreads_32312,1
recommendation_5948,goodreads_2999,1
recommendation_9398,goodreads_1768,1
recommendation_184788,goodreads_39354,1
recommendation_74723,goodreads_13594,1
recommendation_36784,goodreads_41279,1
recommendation_241910,goodreads_14660,1
recommendation_90851,goodreads_26147,1
recommendation_106917,goodreads_4672,1
recommendation_27214,goodreads_3738,1
recommendation_6204,goodreads_1432,1
recommendation_145581,goodreads_19112,1
recommendation_30466,goodreads_23752,1
recommendation_194122,goodreads_202,1
recommendation_113267,goodreads_6302,1
recommendation_27448,goodreads_29056,1
recommendation_113545,goodreads_25277,1
recommendation_174025,goodreads_38795,1
recommendation_125833,goodreads_6668,1
recommendation_66211,goodreads_43930,1
recommendation_49095,goodreads_19348,1
recommendation_190777,goodreads_37152,1
recommendation_78015,goodreads_1193,1
recommendation_17813,goodreads_19204,1
recommendation_127137,goodreads_31600,1
recommendation_158829,goodreads_52973,1
recommendation_27088,goodreads_16039,1
recommendation_234321,goodreads_28629,1
recommendation_24974,goodreads_53638,1
recommendation_94526,goodreads_10814,1
recommendation_191577,goodreads_14087,1
recommendation_110645,goodreads_44074,1
recommendation_10076,goodreads_38014,1
recommendation_230244,goodreads_45104,1
recommendation_36069,goodreads_133,1
recommendation_118461,goodreads_26564,1
recommendation_27395,goodreads_45895,1
recommendation_100892,goodreads_32288,1
recommendation_115664,goodreads_9713,1
recommendation_42330,goodreads_23969,1
recommendation_53163,goodreads_31853,1
recommendation_146378,goodreads_51435,1
recommendation_40759,goodreads_2572,1
recommendation_175979,goodreads_49901,1
recommendation_126963,goodreads_11528,1
recommendation_55273,goodreads_35551,1
recommendation_227675,goodreads_42661,1
recommendation_93875,goodreads_8398,1
recommendation_91160,goodreads_32695,1
recommendation_53204,goodreads_51773,1
recommendation_3489,goodreads_37274,1
recommendation_43407,goodreads_8126,1
recommendation_103888,goodreads_41909,1
recommendation_4575,goodreads_19805,1
recommendation_55100,goodreads_35671,1
recommendation_26665,goodreads_19723,1
recommendation_58040,goodreads_50188,1
recommendation_10849,goodreads_49109,1
recommendation_10091,goodreads_11971,1
recommendation_156595,goodreads_29938,1
recommendation_251884,goodreads_7109,1
recommendation_136332,goodreads_24991,1
recommendation_181857,goodreads_45650,1
recommendation_124790,goodreads_28184,1
recommendation_3766,goodreads_26479,1
recommendation_1050,goodreads_10670,1
recommendation_259819,goodreads_21718,1
recommendation_197237,goodreads_26051,1
recommendation_17271,goodreads_10363,1
recommendation_185003,goodreads_46106,1
recommendation_249939,goodreads_45080,1
recommendation_8813,goodreads_401,1
recommendation_65797,goodreads_4521,1
recommendation_182003,goodreads_19987,1
recommendation_210325,goodreads_50886,1
recommendation_144264,goodreads_32447,1
recommendation_246,goodreads_44295,1
recommendation_123684,goodreads_345,1
recommendation_82764,goodreads_53116,1
recommendation_89918,goodreads_11211,1
recommendation_87904,goodreads_494,1
recommendation_44875,goodreads_42579,1
recommendation_22871,goodreads_51811,1
recommendation_239935,goodreads_7118,1
